F TOKENS,M TOKENS,I TOKENS
,,
6,3,4
6,3,4
0,6,4
4,4,4
,,
,,
6,3,4
6,3,4
2,5,4
2,5,4
,,
5,2,5
5,5,3
1,4,5
5,5,3
,,
5,2,5
2,5,4
5,2,5
2,5,4
,,
5,2,5
0,6,4
4,4,4
6,3,4
,,
5,2,5
2,5,4
2,5,4
6,3,4
,,
5,2,5
2,5,4
4,4,4
4,4,4
,,
4,4,4
6,3,4
2,5,4
4,4,4
,,
4,4,4
4,4,4
4,4,4
4,4,4
,,
3,3,5
5,5,3
3,3,5
5,5,3
,,
3,3,5
5,5,3
5,2,5
3,6,3
,,
3,3,5
2,5,4
3,3,5
6,3,4
,,
3,3,5
2,5,4
5,2,5
4,4,4
,,
3,3,5
4,4,4
3,3,5
4,4,4
,,
3,3,5
6,3,4
2,5,4
4,4,4
,,
3,3,5
6,3,4
6,3,4
0,6,4
,,
3,3,5
4,4,4
4,4,4
4,4,4
,,
2,2,6
5,5,3
2,2,6
5,5,3
,,
2,2,6
5,5,3
4,1,6
3,6,3
,,
2,2,6
2,5,4
6,3,4
5,5,3
,,
2,2,6
4,4,4
4,4,4
5,5,3
,,
2,2,6
4,4,4
6,3,4
3,6,3
,,
1,4,5
2,5,4
5,2,5
6,3,4
,,
1,4,5
4,4,4
3,3,5
6,3,4
,,
1,4,5
4,4,4
5,2,5
4,4,4
,,
1,4,5
6,3,4
2,5,4
6,3,4
,,
1,4,5
6,3,4
4,4,4
4,4,4
,,
0,3,6
5,5,3
4,1,6
5,5,3
,,
0,3,6
5,5,3
6,0,6
3,6,3
,,
0,3,6
6,3,4
4,4,4
5,5,3
,,
0,3,6
6,3,4
6,3,4
3,6,3